"","NVDA","MSFT","PG","CAT","WMT","AMZN","EURUSD","GBPUSD","GBPCNY","USDZAR","GBPZAR","EURZAR"
"2010-05-11",0.330097317695618,21.7602920532227,40.0663146972656,45.0469703674316,12.6632328033447,6.52299976348877,1.2698,1.4751,10.1533,7.5306,11.2029,9.5876
"2010-05-12",0.336515933275223,22.1822319030762,40.4838752746582,46.4651260375977,12.7416572570801,6.69350004196167,1.2686,1.4905,10.1449,7.5076,11.2787,9.5463
"2010-05-13",0.335828244686127,22.0315494537354,40.3104286193848,45.6196784973145,12.7222366333008,6.57350015640259,1.2587,1.4769,10.0218,7.4742,11.0793,9.4369
"2010-05-14",0.297087669372559,21.7979717254639,40.1755218505859,44.2356109619141,12.6542501449585,6.42649984359741,1.2492,1.4547,9.9357,7.5243,10.9622,9.4114
"2010-05-17",0.297775387763977,21.8055000305176,40.7151336669922,43.4856224060059,12.8023490905762,6.44549989700317,1.2349,1.4395,9.8526,7.5777,10.9305,9.3195
"2010-05-18",0.287918329238892,21.6465549468994,40.6059265136719,43.0833511352539,13.0402879714966,6.31400012969971,1.2428,1.4434,9.8559,7.517,10.903,9.3391
"2010-05-19",0.29250293970108,21.3740844726562,40.6123428344727,41.890209197998,12.8776159286499,6.22949981689453,1.227,1.4243,9.8089,7.6868,10.9814,9.3545
"2010-05-20",0.285625994205475,20.51881980896,39.5780906677246,40.0015830993652,12.4551668167114,5.9854998588562,1.2334,1.4315,9.767,7.8225,11.2452,9.6905
"2010-05-21",0.291815370321274,20.3144664764404,39.7322731018066,40.9697608947754,12.4721574783325,6.13600015640259,1.2497,1.4353,9.8584,7.949,11.4359,9.9271
"2010-05-24",0.283333450555801,19.8830432891846,39.4431838989258,40.3765830993652,12.3823232650757,6.10599994659424,1.236,1.4366,9.8386,7.8523,11.3402,9.7678
"2010-05-25",0.290898442268372,19.7316722869873,39.2183570861816,40.369758605957,12.2075157165527,6.24300003051758,1.2223,1.432,9.7936,7.9704,11.3897,9.7518
"2010-05-26",0.292273759841919,18.9293899536133,38.8264846801758,40.7243003845215,12.1443910598755,6.16050004959106,1.2309,1.4417,9.8498,7.8314,11.2695,9.6448
"2010-05-27",0.309466302394867,19.678689956665,39.1541175842285,42.3129119873047,12.3094882965088,6.33500003814697,1.2255,1.457,9.8852,7.6982,11.1308,9.4372
"2010-05-28",0.301213920116425,19.5273151397705,39.2440414428711,41.4265632629395,12.2754964828491,6.27299976348877,1.2384,1.458,9.8762,7.5425,10.9653,9.3444
"2010-06-01",0.288376718759537,19.5954303741455,39.2890167236328,40.4106864929199,12.3629007339478,6.16200017929077,1.2155,1.4504,10.0364,7.7503,11.2306,9.441
"2010-06-02",0.291586011648178,20.02685546875,39.6616096496582,41.4947395324707,12.5571336746216,6.31549978256226,1.2218,1.4667,9.9507,7.712,11.3296,9.426
"2010-06-03",0.291127622127533,20.3295993804932,39.7001495361328,41.6651954650879,12.5571336746216,6.43800020217896,1.2268,1.4674,9.9837,7.6072,11.1742,9.3573
"2010-06-04",0.277373492717743,19.519739151001,39.0577392578125,39.3811416625977,12.2366504669189,6.13850021362305,1.206,1.4657,9.9411,7.644,11.2007,9.3249
"2010-06-07",0.263619482517242,19.1413154602051,38.9421234130859,38.0652732849121,12.3191995620728,6.10050010681152,1.1959,1.4503,9.9033,7.8197,11.2748,9.3386
"2010-06-08",0.256284058094025,19.0050773620605,39.9185562133789,38.5970764160156,12.3289127349854,5.94199991226196,1.1942,1.4423,9.8132,7.7889,11.2784,9.3031
"2010-06-09",0.250094681978226,18.7628746032715,39.4881591796875,38.7334289550781,12.3798980712891,5.89550018310547,1.201,1.4493,9.9655,7.7212,11.161,9.2237
"2010-06-10",0.260180920362473,18.9218120574951,39.7708168029785,40.8743133544922,12.435736656189,6.16050004959106,1.2045,1.4612,10.0162,7.7824,11.3413,9.3591
"2010-06-11",0.266140908002853,19.421350479126,39.1926498413086,41.0651931762695,12.348334312439,6.15150022506714,1.2127,1.464,9.9426,7.7091,11.3224,9.3273
"2010-06-14",0.260410130023956,19.3002605438232,39.3468284606934,41.5901947021484,12.4405946731567,6.19150018692017,1.2249,1.4729,10.1036,7.6514,11.2315,9.3275
"2010-06-15",0.273247241973877,20.11767578125,39.7708168029785,43.267448425293,12.5377101898193,6.34200000762939,1.2258,1.4741,10.1227,7.6888,11.3079,9.3692
"2010-06-17",0.280124366283417,19.9587345123291,39.674446105957,44.2833251953125,12.4818696975708,6.29449987411499,1.2363,1.4835,10.1001,7.6215,11.2264,9.3851
"2010-06-18",0.281958192586899,20.0117149353027,39.3789520263672,44.8969650268555,12.5158576965332,6.29150009155273,1.2372,1.4819,10.1049,7.5465,11.2069,9.355
"2010-06-21",0.275310456752777,19.6408462524414,39.2504577636719,45.0469703674316,12.3871784210205,6.12750005722046,1.2391,1.4853,10.0715,7.4324,11.0549,9.2358
"2010-06-22",0.264994770288467,19.5046062469482,39.0063552856445,43.7106094360352,12.3046340942383,6.11549997329712,1.2258,1.4732,10.078,7.5228,11.0739,9.2549
"2010-06-23",0.267974823713303,19.1564521789551,39.4303398132324,43.8606224060059,12.3361911773682,6.07250022888184,1.2271,1.4917,10.1476,7.5757,11.2856,9.3159
"2010-06-24",0.254679292440414,18.9218120574951,39.1027145385742,43.2060775756836,12.1468162536621,5.91650009155273,1.2262,1.4983,10.177,7.5698,11.3278,9.2957
"2010-06-25",0.253991544246674,18.5660858154297,38.4089431762695,44.119701385498,11.848183631897,6.05000019073486,1.2294,1.4904,10.171,7.6366,11.3702,9.4007
